feed_id,service_uid,source_service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
sle,sle:306562637263,306562637263,0,0,0,0,0,1,1,2026-09-20,2027-09-20
sle,sle:306262637263,306262637263,1,1,1,1,1,0,0,2026-09-20,2027-09-20
sle,sle:206262636275,206262636275,1,1,1,1,1,0,0,2026-09-20,2026-10-02
sle,sle:106262787263,106262787263,1,1,1,1,1,0,0,2026-10-05,2027-09-20
