feed_id,trip_uid,source_trip_id,route_uid,source_route_id,service_uid,source_service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_uid,source_shape_id,operator_name,service_name,route_name
sle,sle:185910,185910,sle:42948,42948,sle:306262287228,306262287228,Stamford,9633,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185952,185952,sle:42948,42948,sle:306262287228,306262287228,Old Saybrook,9700,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185953,185953,sle:42948,42948,sle:306262287228,306262287228,Old Saybrook,9704,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185954,185954,sle:42948,42948,sle:306262287228,306262287228,Old Saybrook,9706,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185955,185955,sle:42948,42948,sle:306262287228,306262287228,New Haven,9755,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185956,185956,sle:42948,42948,sle:306262287228,306262287228,New Haven,9757,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185957,185957,sle:42948,42948,sle:306262287228,306262287228,New Haven,9759,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:185958,185958,sle:42948,42948,sle:306562287228,306562287228,Old Saybrook,9790,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296717,296717,sle:42948,42948,sle:206262286247,206262286247,New London,1600,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296720,296720,sle:42948,42948,sle:206262286247,206262286247,New London,1602,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296723,296723,sle:42948,42948,sle:206262286247,206262286247,New London,1604,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296726,296726,sle:42948,42948,sle:206262286247,206262286247,New London,1606,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296729,296729,sle:42948,42948,sle:206262286247,206262286247,New London,1610,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296732,296732,sle:42948,42948,sle:206262286247,206262286247,New London,1632,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296735,296735,sle:42948,42948,sle:206262286247,206262286247,New London,1634,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296738,296738,sle:42948,42948,sle:206262286247,206262286247,New London,1638,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296741,296741,sle:42948,42948,sle:206262286247,206262286247,New London,1652,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296744,296744,sle:42948,42948,sle:206262286247,206262286247,New Haven,1699,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296749,296749,sle:42948,42948,sle:206262286247,206262286247,New London,1640,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296752,296752,sle:42948,42948,sle:206262286247,206262286247,New Haven,1695,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296640,296640,sle:42948,42948,sle:103262506250,103262506250,New London,3604,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296642,296642,sle:42948,42948,sle:206562286235,206562286235,New London,3610,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296644,296644,sle:42948,42948,sle:103262506250,103262506250,New London,3610,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296646,296646,sle:42948,42948,sle:206562286235,206562286235,New Haven,3613,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296648,296648,sle:42948,42948,sle:103262506250,103262506250,New Haven,3613,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296650,296650,sle:42948,42948,sle:206562286235,206562286235,New London,3618,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296652,296652,sle:42948,42948,sle:103262506250,103262506250,New London,3618,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296654,296654,sle:42948,42948,sle:206562286235,206562286235,New Haven,3621,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296656,296656,sle:42948,42948,sle:103262506250,103262506250,New Haven,3621,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296658,296658,sle:42948,42948,sle:206562286235,206562286235,New Haven,3629,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296660,296660,sle:42948,42948,sle:103262506250,103262506250,New Haven,3629,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296662,296662,sle:42948,42948,sle:206562286235,206562286235,New Haven,3637,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296664,296664,sle:42948,42948,sle:103262506250,103262506250,New Haven,3637,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296666,296666,sle:42948,42948,sle:206562286235,206562286235,New Haven,3645,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296668,296668,sle:42948,42948,sle:103262506250,103262506250,New Haven,3645,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296670,296670,sle:42948,42948,sle:103262506250,103262506250,New London,3652,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296672,296672,sle:42948,42948,sle:103262506250,103262506250,New London,3690,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296674,296674,sle:42948,42948,sle:206562286235,206562286235,New London,3692,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296676,296676,sle:42948,42948,sle:103262506250,103262506250,New London,3692,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296678,296678,sle:42948,42948,sle:103262506250,103262506250,New Haven,3699,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296680,296680,sle:42948,42948,sle:103262506250,103262506250,New London,3034,1,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296681,296681,sle:42948,42948,sle:206262286247,206262286247,New Haven,1637,0,,,,CTrail,Shore Line East,Shore Line East
sle,sle:296684,296684,sle:42948,42948,sle:206262286247,206262286247,New Haven,1645,0,,,,CTrail,Shore Line East,Shore Line East
