source_pdf,source_original_filename,rows_extracted,pages,timetable_effective_date,service_end_date,timetable_last_updated_date,timetable_revision_date
ctrail_hartford_line_effective_2026-06-22_updated_2026-06-09.pdf,6-22.pdf,674,2,2026-06-22,,2026-06-09,
ctrail_shore_line_east_effective_2026-03-29_updated_2026-03-17.pdf,SLE-3_29-MNR-Schedule-Change.pdf,631,2,2026-03-29,,2026-03-17,
metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,03-29-26_NHL-DB-Sched_v2.pdf,418,4,2026-03-29,,2026-03-16,
metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,03-29-26_NHL-NC-Sched_v2.pdf,818,4,2026-03-29,,2026-03-16,
metro_north_new_haven_line_effective_2026-03-29_revised_2026-04-11_updated_2026-04-08.pdf,04-07-26_NHL+Branches-Sched_v3.pdf,7216,9,2026-03-29,,2026-04-08,2026-04-11
metro_north_waterbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,03-29-26_NHL-WB-Sched_v2.pdf,738,4,2026-03-29,,2026-03-16,
