feed_id,source_id,operator_name,source_url,source_name,imported_at,success,record_counts,warnings,errors
mnr,mnr,Metro-North,https://rrgtfsfeeds.s3.amazonaws.com/gtfsmnr.zip,mnr_gtfs_effective_2026-09-03_updated_2026-09-05.zip,2026-09-06T03:03:46+00:00,true,"{""agencies"": 1, ""calendar_dates"": 1121, ""calendars"": 0, ""canonical_stations"": 50, ""feeds"": 1, ""routes"": 4, ""shapes"": 26002, ""stop_times"": 270356, ""stops"": 50, ""transfers"": 11624, ""trips"": 23729}","[""Missing optional GTFS file: calendar.txt"", ""Missing optional GTFS file: feed_info.txt"", ""Excluded 50 stop_times for configured non-public stop_ids: 651""]",[]
hartford,hartford,CTrail,https://ctrides.com/hlgtfs.zip,hartford_gtfs_effective_2026-07-11_updated_2026-09-05.zip,2026-09-06T03:04:47+00:00,true,"{""agencies"": 1, ""calendar_dates"": 16, ""calendars"": 2, ""canonical_stations"": 9, ""feeds"": 1, ""routes"": 1, ""shapes"": 186887, ""stop_times"": 266, ""stops"": 9, ""transfers"": 0, ""trips"": 39}",[],[]
sle,amtrak_official,CTrail,https://content.amtrak.com/content/gtfs/GTFS.zip,sle_gtfs_effective_2026-08-30_updated_2026-09-05.zip,2026-09-06T03:05:10+00:00,true,"{""agencies"": 20, ""calendar_dates"": 0, ""calendars"": 7, ""canonical_stations"": 10, ""feeds"": 1, ""routes"": 1, ""shapes"": 0, ""stop_times"": 564, ""stops"": 11, ""transfers"": 0, ""trips"": 69}","[""Missing optional GTFS file: calendar_dates.txt"", ""Missing optional GTFS file: transfers.txt""]",[]
amtrak,amtrak_official,Amtrak,https://content.amtrak.com/content/gtfs/GTFS.zip,amtrak_gtfs_effective_2026-08-30_updated_2026-09-05.zip,2026-09-06T03:05:12+00:00,true,"{""agencies"": 20, ""calendar_dates"": 0, ""calendars"": 113, ""canonical_stations"": 65, ""feeds"": 1, ""routes"": 5, ""shapes"": 58144, ""stop_times"": 13006, ""stops"": 66, ""transfers"": 0, ""trips"": 718}","[""Missing optional GTFS file: calendar_dates.txt"", ""Missing optional GTFS file: transfers.txt"", ""Excluded 394 trips on route_type outside configured scope: 2"", ""Excluded 1698 trips with fewer than 2 in-scope stops""]",[]
