feed_id,stop_uid,source_stop_id,canonical_station_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station_uid,source_parent_station,in_search_scope
amtrak,amtrak:PJC,PJC,PRINCETON_JU,PJC,Princeton Junction Amtrak Station,40.31585,-74.623976,,,,false
amtrak,amtrak:WNM,WNM,WINDSOR_MT_A,WNM,Windsor-Mt. Ascutney Amtrak,43.479908,-72.384985,,,,false
amtrak,amtrak:NHV,NHV,NHV,NHV,New Haven Union Station,41.297714,-72.92667,,,,true
amtrak,amtrak:BLF,BLF,BELLOWS_FALL,BLF,Bellows Falls Amtrak Station,43.13654,-72.444597,,,,false
amtrak,amtrak:WAB,WAB,WATERBURY_ST,WAB,Waterbury-Stowe Amtrak Station,44.335011,-72.751806,,,,false
amtrak,amtrak:RNK,RNK,ROANOKE,RNK,Roanoke,37.273185,-79.941795,,,,false
amtrak,amtrak:NFK,NFK,NORFOLK,NFK,Norfolk,36.843509,-76.276195,,,,false
amtrak,amtrak:MET,MET,METROPARK_AM,MET,Metropark Amtrak Station,40.568056,-74.329583,,,,false
amtrak,amtrak:BWI,BWI,BWI_THURGOOD,BWI,Bwi Thurgood Marshall Airport Station,39.192362,-76.6943,,,,false
amtrak,amtrak:NCR,NCR,NEW_CARROLLT,NCR,New Carrollton Amtrak Station,38.948098,-76.871494,,,,false
amtrak,amtrak:NPN,NPN,NEWPORT_NEWS,NPN,Newport News,37.122325,-76.517023,,,,false
