feed_id,from_stop_uid,source_from_stop_id,to_stop_uid,source_to_stop_id,transfer_type,min_transfer_time
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:112,112,mnr:112,112,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
mnr,mnr:124,124,mnr:124,124,1,
