agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1530,From Grand Central,GLB,Glenbrook,4,14:05,14:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1530,From Grand Central,SPD,Springdale,5,14:08,14:08,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1530,From Grand Central,TMH,Talmadge Hill,6,14:12,14:12,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1530,From Grand Central,NCN,New Canaan,7,14:19,14:19,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,GCT,Grand Central,1,14:04,14:04,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,STM,Stamford,2,14:55,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,STM,Stamford,3,,15:01,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,GLB,Glenbrook,4,15:05,15:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,SPD,Springdale,5,15:08,15:08,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,TMH,Talmadge Hill,6,15:12,15:12,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1534,From Grand Central,NCN,New Canaan,7,15:19,15:19,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,GCT,Grand Central,1,15:05,15:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,STM,Stamford,2,15:54,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,STM,Stamford,3,,15:58,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,GLB,Glenbrook,4,16:02,16:02,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
Metro-North,New Canaan Branch,New Haven Line - New Canaan Branch,1538,From Grand Central,SPD,Springdale,5,16:05,16:05,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-NC-Sched_v2.pdf,metro_north_new_canaan_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central; C
