agency,service_name,route_name,train_number,direction,station_id,station_name,station_sequence,arrival_time,departure_time,service_start_date,service_end_date,service_dates,service_days,timetable_effective_date,timetable_last_updated_date,timetable_revision_date,source_original_filename,source_pdf,source_page,raw_notes
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1506,From Grand Central,RDG,Redding,9,08:20,08:20,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1506,From Grand Central,BTH,Bethel,10,08:27,08:27,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1506,From Grand Central,DAN,Danbury,11,08:40,08:40,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,GCT,Grand Central,1,08:02,08:02,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,STM,Stamford,2,,08:55,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,SONO,South Norwalk,3,09:10,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,SONO,South Norwalk,4,,09:16,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,MRT7,Merritt 7,5,09:28,09:28,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,WILTON,Wilton,6,09:35,09:35,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,CND,Cannondale,7,09:40,09:40,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,BVL,Branchville,8,09:46,09:46,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,RDG,Redding,9,09:54,09:54,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,BTH,Bethel,10,10:01,10:01,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1512,From Grand Central,DAN,Danbury,11,10:10,10:10,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,GCT,Grand Central,1,11:04,11:04,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,STM,Stamford,2,,11:55,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,SONO,South Norwalk,3,00:11,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,SONO,South Norwalk,4,,00:17,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,MRT7,Merritt 7,5,00:27,00:27,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,WILTON,Wilton,6,00:33,00:33,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,CND,Cannondale,7,00:37,00:37,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,BVL,Branchville,8,00:43,00:43,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,RDG,Redding,9,00:51,00:51,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,BTH,Bethel,10,00:58,00:58,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1522,From Grand Central,DAN,Danbury,11,01:09,01:09,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,GCT,Grand Central,1,13:04,13:04,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,STM,Stamford,2,,13:55,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,SONO,South Norwalk,3,14:10,,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,SONO,South Norwalk,4,,14:15,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,MRT7,Merritt 7,5,14:26,14:26,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,WILTON,Wilton,6,14:32,14:32,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,CND,Cannondale,7,14:36,14:36,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
Metro-North,Danbury Branch,New Haven Line - Danbury Branch,1530,From Grand Central,BVL,Branchville,8,14:42,14:42,2026-03-29,,,weekday,2026-03-29,2026-03-16,,03-29-26_NHL-DB-Sched_v2.pdf,metro_north_danbury_branch_effective_2026-03-29_updated_2026-03-16.pdf,2,From Grand Central
