from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246129824613013+2286478+1,246129824613013+2286049+1,1,
33,33,,,246131224613644+2286478+1,246131224613644+2286049+1,1,
33,33,,,246130624613084+2286479+1,246130624613084+2286051+1,1,
33,33,,,246127124612732+2286484+1,246127124612732+2286053+1,1,
33,33,,,246127124612734+2286484+1,246127124612734+2286053+1,1,
33,33,,,246129224612942+2286484+1,246129224612942+2286055+1,1,
33,33,,,246130924613095+2286485+1,246130924613095+2286054+1,1,
33,33,,,246127724612771+2286490+1,246127724612771+2286076+1,1,
33,33,,,246130624613082+2286492+1,246130624613082+2286078+1,1,
33,33,,,246130624613083+2286492+1,246130624613083+2286078+1,1,
33,33,,,246128424612874+2286497+1,246128424612874+2286084+1,1,
33,33,,,246129824613013+2286497+1,246129824613013+2286084+1,1,
33,33,,,246127824612803+2286499+1,246127824612803+2286086+1,1,
33,33,,,246127824612804+2286499+1,246127824612804+2286086+1,1,
33,33,,,246128424612872+2286505+0,246128424612872+2283988+0,1,
33,33,,,246129824613014+2286505+0,246129824613014+2283988+0,1,
33,33,,,246127724612771+2286509+0,246127724612771+2286097+0,1,
33,33,,,246128424612872+2286509+0,246128424612872+2286097+0,1,
33,33,,,246128424612874+2286509+0,246128424612874+2286097+0,1,
33,33,,,246128824612885+2286512+0,246128824612885+2286100+0,1,
33,33,,,246129824613013+2286514+0,246129824613013+2286097+0,1,
33,33,,,246130524613051+2286514+0,246130524613051+2286097+0,1,
33,33,,,246131224613641+2286514+0,246131224613641+2286097+0,1,
33,33,,,246127724612771+2286524+0,246127724612771+2286112+0,1,
33,33,,,246129824613012+2286524+0,246129824613012+2286112+0,1,
33,33,,,246129224612943+2286526+0,246129224612943+2286114+0,1,
33,33,,,246127124612734+2286537+0,246127124612734+2286145+0,1,
33,33,,,246129824613641+2286537+0,246129824613011+2286145+0,1,
33,33,,,246129824613643+2286537+0,246131224613643+2286145+0,1,
33,33,,,246127424612885+2286538+0,246127424613655+2286146+0,1,
33,33,,,246129824613012+2286548+0,246129824613012+2286160+0,1,
33,33,,,246130624613084+2286550+0,246130624613084+2286162+0,1,
33,33,,,246131624613655+2286552+0,246131624613655+2286165+0,1,
33,33,,,246128424612872+2286553+0,246128424612872+2286187+0,1,
33,33,,,246130624613082+2286555+0,246130624613082+2286189+0,1,
33,33,,,246130924613095+2286564+0,246130924613095+2286204+0,1,
33,33,,,246127724612771+2286570+0,246127724612771+2286226+0,1,
33,33,,,246128424612874+2286570+0,246128424612874+2286226+0,1,
33,33,,,246129824613012+2286570+0,246129824613012+2286226+0,1,
33,33,,,246127824612803+2286572+0,246127824612803+2286228+0,1,
33,33,,,246127824612804+2286572+0,246127824612804+2286228+0,1,
33,33,,,246130624613083+2286572+0,246130624613083+2286228+0,1,
33,33,,,246130224613025+2286574+0,246130224613025+2286229+0,1,
33,33,,,246127124612732+2286746+0,246127124612732+2286250+0,1,
33,33,,,246129524612955+2286747+0,246127424613655+2286251+0,1,
33,33,,,246127824612802+2286748+0,246127824612802+2286252+0,1,
33,33,,,246130224613025+2286749+0,246127424613655+2286251+0,1,
33,33,,,246127824612804+2286850+0,246127724612874+2286257+0,1,
33,33,,,246129224612943+2286850+0,246129224612943+2286257+0,1,
33,33,,,246127124612733+2286928+0,246127124612733+2286274+0,1,
33,33,,,246127724612771+2286928+0,246127724612771+2286274+0,1,
33,33,,,246131224613643+2286928+0,246131224613643+2286274+0,1,
33,33,,,246129524612955+2286929+0,246129224612955+2286275+0,1,
33,33,,,246129224612944+2286930+0,246129224612954+2286275+0,1,
33,33,,,246130624613082+2286930+0,246130624613092+2286275+0,1,
33,33,,,246129824613011+2286952+0,246129824613011+2286276+0,1,
33,33,,,246129824613012+2286952+0,246129824613012+2286276+0,1,
33,33,,,246129824613014+2286952+0,246129824613014+2286276+0,1,
33,33,,,246127824612803+2286954+0,246127824612803+2286278+0,1,
33,33,,,246127524612966+2286961+0,246127524613666+2286585+0,1,
33,33,,,246130324613666+2286966+0,246127524613666+2286585+0,1,
33,33,,,246127624612767+2286982+0,246127624612767+2286601+0,1,
33,33,,,246130324613666+2287002+0,246127524613666+2286611+0,1,
33,33,,,246128324612977+2287011+0,246129724613607+2286622+0,1,
33,33,,,246127124612732+2287023+0,246127124612732+2286293+0,1,
33,33,,,246127124612734+2287023+0,246127124612734+2286293+0,1,
33,33,,,246131224613642+2287023+0,246131224613642+2286293+0,1,
33,33,,,246130924613095+2287024+0,246130924613095+2286294+0,1,
33,33,,,246129224612943+2287025+0,246129224612943+2286295+0,1,
33,33,,,246128824612885+2287026+0,246128824612885+2286296+0,1,
33,33,,,246131624613655+2287027+0,246131624613655+2286296+0,1,
33,33,,,246128924612896+2287032+0,246127524613666+2286635+0,1,
33,33,,,246130424613607+2287037+0,246129724613607+2286637+0,1,
33,33,,,246129024612907+2287055+0,246129024612917+2286657+0,1,
33,33,,,246130424613607+2287085+0,246129724613607+2286680+0,1,
33,33,,,246129624612966+2287099+0,246127524613666+2286699+0,1,
33,33,,,246129724612977+2287100+0,246129724612977+2286700+0,1,
33,33,,,246129724612977+2287119+0,246129724613607+2286725+0,1,
33,33,,,246127524612756+2287159+0,246127524613666+2286774+0,1,
33,33,,,246129724612977+2287162+0,246129724613607+2286775+0,1,
33,33,,,246129024612907+2287164+0,246129024612917+2286775+0,1,
33,33,,,246130424613607+2287200+0,246129724613607+2286789+0,1,
33,33,,,246128924612966+2287219+0,246127524613666+2286808+0,1,
33,33,,,246128324612837+2287222+0,246128324612837+2286810+0,1,
33,33,,,246127724612771+2287253+0,246127724612771+2286318+0,1,
33,33,,,246130324613036+2287280+0,246127524613666+2286877+0,1,
33,33,,,246130424613607+2287281+0,246129724613607+2286878+0,1,
33,33,,,246129024612907+2287295+0,246129024612907+2286897+0,1,
33,33,,,246131024613106+2287328+0,246128224613666+2286918+0,1,
33,33,,,246129024612917+2287331+0,246129024612907+2286925+0,1,
33,33,,,246129824613012+2287345+0,246129824613012+2286337+0,1,
33,33,,,246130524613051+2287345+0,246130524613051+2286337+0,1,
33,33,,,246131224613644+2287345+0,246131224613644+2286337+0,1,
33,33,,,246130624613083+2287347+0,246130624613083+2286339+0,1,
33,33,,,246130624613092+2287360+0,246130624613082+2286351+0,1,
33,33,,,246130624613094+2287360+0,246130624613084+2286351+0,1,
33,33,,,246127724612882+2287363+0,246127824612802+2286364+0,1,
33,33,,,246127724612884+2287363+0,246128424612874+2286362+0,1,
33,33,,,246129224612943+2287363+0,246129224612943+2286364+0,1,
33,33,,,246129824613653+2287363+0,246129824613013+2286362+0,1,
33,33,,,246127124612743+2287370+0,246127124612743+2286369+0,1,
33,33,,,246127724612882+2287370+0,246127724612882+2286369+0,1,
33,33,,,246127124612745+2286397+0,246127124612745+2285930+1,1,
33,33,,,246127724612882+2286397+0,246127724612882+2285930+1,1,
33,33,,,246129224612955+2286397+0,246129224612955+2285930+1,1,
33,33,,,246128424612872+2286403+1,246128424612872+2285939+1,1,
33,33,,,246129824613011+2286403+1,246129824613011+2285939+1,1,
33,33,,,246131224613643+2286403+1,246131224613643+2285939+1,1,
33,33,,,246131624613655+2286406+1,246131624613655+2285942+1,1,
33,33,,,246127724612771+2286415+1,246127724612771+2285972+1,1,
33,33,,,246128424612872+2286415+1,246128424612872+2285972+1,1,
33,33,,,246131224613642+2286415+1,246131224613642+2285972+1,1,
33,33,,,246131224613643+2286415+1,246131224613643+2285972+1,1,
33,33,,,246130524613051+2286415+1,246129824613651+2285945+1,1,
33,33,,,246131224613643+2286415+1,246129824613653+2285945+1,1,
33,33,,,246127424612815+2286416+1,246127124612745+2285945+1,1,
33,33,,,246129224612942+2286417+1,246129224612952+2285945+1,1,
33,33,,,246129224612944+2286417+1,246129224612954+2285945+1,1,
33,33,,,246127124612734+2286425+1,246127124612734+2285988+1,1,
33,33,,,246128424612874+2286425+1,246127724612874+2285988+1,1,
33,33,,,246127824612802+2286427+1,246127724612872+2285988+1,1,
33,33,,,246127124612734+2286429+1,246127124612734+2286017+1,1,
33,33,,,246127724612873+2286429+1,246128424612873+2286017+1,1,
33,33,,,246129824613641+2286429+1,246129824613011+2286017+1,1,
33,33,,,246129824613644+2286429+1,246130624613084+2286019+1,1,
33,33,,,246128424612871+2286460+1,246128424612871+2286037+1,1,
33,33,,,246128424612873+2286460+1,246128424612873+2286037+1,1,
33,33,,,246131224613642+2286460+1,246131224613642+2286037+1,1,
33,33,,,246131224613643+2286460+1,246131224613643+2286037+1,1,
33,33,,,246127824612804+2286462+1,246127824612804+2286039+1,1,
33,33,,,246129224612942+2286462+1,246129224612942+2286039+1,1,
33,33,,,246128424612873+2286472+1,246128424612873+2286049+1,1,
33,33,,,246129824613012+2286472+1,246129824613012+2286049+1,1,
33,33,,,246129824613013+2286472+1,246129824613013+2286049+1,1,
33,33,,,246129824613012+2286478+1,246129824613012+2286049+1,1,
33,33,,,246127724612874+2286484+1,246128424612874+2286053+1,1,
33,33,,,246129224612944+2286484+1,246129224612944+2286055+1,1,
33,33,,,246129824613642+2286484+1,246129824613012+2286053+1,1,
33,33,,,246129824613641+2286484+1,246130524613051+2286053+1,1,
33,33,,,246129824613643+2286484+1,246130624613083+2286055+1,1,
33,33,,,246127124612732+2286490+1,246127124612732+2286076+1,1,
33,33,,,246128424612874+2286490+1,246128424612874+2286076+1,1,
33,33,,,246129824613011+2286490+1,246129824613011+2286076+1,1,
33,33,,,246127424613655+2286491+1,246128824612885+2286079+1,1,
33,33,,,246127424613655+2286491+1,246129524612955+2286077+1,1,
33,33,,,246127124612732+2286497+1,246127124612732+2286084+1,1,
33,33,,,246131224613644+2286497+1,246131224613644+2286084+1,1,
33,33,,,246129524612955+2286498+1,246129524612955+2286085+1,1,
33,33,,,246130924613095+2286498+1,246130924613095+2286085+1,1,
33,33,,,246129224612942+2286499+1,246129224612942+2286086+1,1,
33,33,,,246127124612734+2286505+0,246127124612734+2283988+0,1,
33,33,,,246129824613011+2286514+0,246129824613011+2286097+0,1,
33,33,,,246128424612872+2286524+0,246128424612872+2286112+0,1,
33,33,,,246129824613013+2286524+0,246129824613013+2286112+0,1,
33,33,,,246129224612942+2286537+0,246129224612942+2286147+0,1,
33,33,,,246128424612874+2286548+0,246128424612874+2286160+0,1,
33,33,,,246129824613013+2286548+0,246129824613013+2286160+0,1,
33,33,,,246127824612804+2286550+0,246127824612804+2286162+0,1,
33,33,,,246130624613082+2286550+0,246130624613082+2286162+0,1,
33,33,,,246127124612732+2286553+0,246127124612732+2286187+0,1,
33,33,,,246127424612815+2286554+0,246127424613655+2286188+0,1,
33,33,,,246129224612944+2286555+0,246129224612944+2286189+0,1,
33,33,,,246130624613083+2286555+0,246130624613083+2286189+0,1,
33,33,,,246127124612734+2286563+0,246127124612734+2286203+0,1,
33,33,,,246128424612872+2286563+0,246128424612872+2286203+0,1,
33,33,,,246129824613014+2286563+0,246129824613014+2286207+0,1,
33,33,,,246129524612955+2286564+0,246129524612955+2286204+0,1,
33,33,,,246127824612802+2286565+0,246127824612802+2286205+0,1,
33,33,,,246127124612732+2286570+0,246127124612732+2286226+0,1,
33,33,,,246131224613643+2286570+0,246131224613643+2286226+0,1,
33,33,,,246127424612815+2286571+0,246127424612815+2286227+0,1,
33,33,,,246129224612943+2286572+0,246129224612943+2286228+0,1,
33,33,,,246127124612733+2286746+0,246127124612733+2286250+0,1,
33,33,,,246131224613642+2286746+0,246131224613642+2286250+0,1,
33,33,,,246131224613643+2286746+0,246131224613643+2286250+0,1,
33,33,,,246127824612803+2286748+0,246127824612803+2286252+0,1,
33,33,,,246131624613655+2286750+0,246127424613655+2286251+0,1,
33,33,,,246129824613013+2286848+0,246129824613643+2286257+0,1,
33,33,,,246131224613642+2286848+0,246129824613642+2286257+0,1,
33,33,,,246128324612977+2287000+0,246129724613607+2286612+0,1,
33,33,,,246128424612873+2287023+0,246128424612873+2286293+0,1,
33,33,,,246129824613012+2287023+0,246129824613012+2286293+0,1,
33,33,,,246127824612803+2287025+0,246127824612803+2286295+0,1,
33,33,,,246127824612804+2287025+0,246127824612804+2286295+0,1,
33,33,,,246129224612942+2287025+0,246129224612942+2286295+0,1,
33,33,,,246129624612966+2287028+0,246127524613666+2286635+0,1,
33,33,,,246127624612837+2287078+0,246127624612767+2286679+0,1,
33,33,,,246128224612826+2287079+0,246127524613666+2286678+0,1,
33,33,,,246127624612837+2287100+0,246127624612837+2286700+0,1,
33,33,,,246130424613607+2287106+0,246130424613607+2286703+0,1,
33,33,,,246128324612837+2287119+0,246127624612837+2286725+0,1,
33,33,,,246130424613607+2287124+0,246129724613607+2286725+0,1,
33,33,,,246128324612837+2287162+0,246127624612837+2286775+0,1,
33,33,,,246130324613036+2287166+0,246127524613666+2286774+0,1,
33,33,,,246128224612826+2287198+0,246127524613666+2286788+0,1,
33,33,,,246127524612756+2287219+0,246127524613666+2286808+0,1,
