route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
18650,117,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42920,1220,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
43,43,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
23565,147,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
31849,157,,Maple Leaf,2,http://www.amtrak.com,CAE4F1,000000
33820,162,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42933,178,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42912,1213,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
41080,28,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42891,1202,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42896,1207,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
36923,51,,Crescent,2,https://www.amtrak.com/crescent-train,CAE4F1,000000
54,51,,Hiawatha Service,2,https://www.amtrak.com/hiawatha-train,CAE4F1,000000
80,51,,Wolverine,2,https://www.amtrak.com/michigan-services-train,CAE4F1,000000
63,51,,Saluki,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
84,51,,Capitol Corridor,2,https://www.amtrak.com/capitol-corridor-train,CAE4F1,000000
88,51,,Northeast Regional,2,https://www.amtrak.com/northeast-regional-train,CAE4F1,000000
36921,51,,Empire Service,2,https://www.amtrak.com/empire-service-train,CAE4F1,000000
77,51,,Auto Train,2,https://www.amtrak.com/auto-train,CAE4F1,000000
75,51,,Empire Builder,2,https://www.amtrak.com/empire-builder-train,CAE4F1,000000
51,51,,Southwest Chief,2,https://www.amtrak.com/southwest-chief-train,CAE4F1,000000
55,51,,Pere Marquette,2,https://www.amtrak.com/michigan-services-train,CAE4F1,000000
56,51,,Illini,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
58,51,,Cardinal,2,https://www.amtrak.com/cardinal-train,CAE4F1,000000
60,51,,Amtrak Cascades,2,https://www.amtrak.com/cascades-train,CAE4F1,000000
61,51,,Downeaster,2,https://www.amtrak.com/downeaster-train,CAE4F1,000000
64,51,,Pennsylvanian,2,https://www.amtrak.com/pennsylvanian-train,CAE4F1,000000
68,51,,Maple Leaf,2,https://www.amtrak.com/maple-leaf-train,CAE4F1,000000
69,51,,Palmetto,2,https://www.amtrak.com/silver-service-palmetto-train,CAE4F1,000000
72,51,,Carl Sandburg,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
78,51,,Pacific Surfliner,2,https://www.amtrak.com/pacific-surfliner-train,CAE4F1,000000
79,51,,Piedmont,2,https://www.amtrak.com/carolinian-piedmont-train,CAE4F1,000000
81,51,,Lake Shore Limited,2,https://www.amtrak.com/lake-shore-limited-train,CAE4F1,000000
85,51,,Carolinian,2,https://www.amtrak.com/carolinian-piedmont-train,CAE4F1,000000
86,51,,Heartland Flyer,2,https://www.amtrak.com/heartland-flyer-train,CAE4F1,000000
