trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
185936,12:05:00,12:05:00,WAS,9,0,0,1
185952,4:25:00,4:25:00,NHV,1,0,0,1
185952,4:37:00,4:37:00,BNF,2,0,0,1
185952,4:44:00,4:44:00,GUI,3,0,0,1
185952,4:48:00,4:48:00,MDS,4,0,0,1
185952,4:51:00,4:51:00,CLN,5,0,0,1
185952,4:55:00,4:55:00,WSB,6,0,0,1
185952,5:00:00,5:00:00,OSB,7,1,0,1
185953,4:45:00,4:45:00,NHV,1,0,0,1
185953,4:59:00,4:59:00,BNF,2,0,0,1
185953,5:07:00,5:07:00,GUI,3,0,0,1
185953,5:12:00,5:12:00,MDS,4,0,0,1
185953,5:15:00,5:15:00,CLN,5,0,0,1
185953,5:19:00,5:19:00,WSB,6,0,0,1
185953,5:25:00,5:25:00,OSB,7,0,0,1
185954,4:55:00,4:55:00,NHV,1,0,0,1
185954,5:07:00,5:07:00,BNF,2,0,0,1
185954,5:15:00,5:15:00,GUI,3,0,0,1
185954,5:19:00,5:19:00,MDS,4,0,0,1
185954,5:22:00,5:22:00,CLN,5,0,0,1
185954,5:26:00,5:26:00,WSB,6,0,0,1
185954,5:35:00,5:35:00,OSB,7,0,0,1
185955,19:00:00,19:00:00,OSB,1,0,0,1
185955,19:37:00,19:37:00,NHV,2,0,0,1
185956,20:10:00,20:10:00,OSB,1,0,0,1
185956,20:16:00,20:16:00,WSB,2,0,0,1
185956,20:19:00,20:19:00,CLN,3,0,0,1
185956,20:22:00,20:22:00,MDS,4,0,0,1
185956,20:25:00,20:25:00,GUI,5,0,0,1
185956,20:32:00,20:32:00,BNF,6,0,0,1
185956,20:43:00,20:43:00,STS,7,0,0,1
185956,20:45:00,20:45:00,NHV,8,0,0,1
185957,20:55:00,20:55:00,OSB,1,0,0,1
185957,21:30:00,21:30:00,NHV,2,0,0,1
185958,6:00:00,6:00:00,NHV,1,0,0,1
185958,6:35:00,6:35:00,OSB,2,1,0,1
189776,12:15:00,12:15:00,LOS,1,0,0,1
189776,12:30:00,12:30:00,LOH,2,0,1,1
189776,13:17:00,13:17:00,SAE,3,0,1,1
189776,13:40:00,13:40:00,SAF,4,0,1,1
189776,14:12:00,14:12:00,LMY,5,0,0,1
189782,15:03:00,15:03:00,LMY,1,0,0,1
189782,15:40:00,15:40:00,SAF,2,1,0,1
189782,16:10:00,16:10:00,SAE,3,1,0,1
189782,16:50:00,16:50:00,LOH,4,1,0,1
189782,17:20:00,17:20:00,LOS,5,0,0,1
194956,23:50:00,23:50:00,SFC,1,0,1,1
194956,24:25:00,24:25:00,EMY,2,0,0,1
195509,8:15:00,8:15:00,CHI,1,0,0,1
195509,9:12:00,9:12:00,JOL,2,0,0,1
195509,10:13:00,10:16:00,BNL,3,0,0,1
